name,salary_from,salary_to,salary_currency,area_name,published_at
Специалист технической службы,50000,,RUR,Брянск,2022-12-27T07:57:32+0300
Специалист отдела внедрения,70000,,RUR,Томск,2022-12-27T07:14:04+0300
Сменный Механик (Энергомеханической службы),108000,,RUR,Белово,2022-12-27T07:55:54+0300
Инженер по сервисному обслуживанию банковского оборудования,60000,,RUR,Сургут,2022-12-27T07:19:17+0300
Слесарь,,45000,RUR,Новосибирск,2022-12-27T07:37:35+0300
Мастер по ремонту телефонов и ноутбуков,100000,,RUR,Владивосток,2022-12-27T07:18:35+0300
Инженер группы документации,35000,40000,RUR,Томск,2022-12-27T07:55:17+0300
Разработчик/Аналитик ЦФТ-Банк,200000,300000,RUR,Новосибирск,2022-12-27T07:33:57+0300
Инженер-программист 1С,50000,,RUR,Искитим,2022-12-27T07:55:49+0300
Токарь,38000,45000,RUR,Томск,2022-12-27T07:55:17+0300
Заместитель начальника технического отдела,60000,,RUR,Екатеринбург,2022-12-27T07:30:00+0300
Инженер сетевого и системного администрирования,45000,,RUR,Красноярск,2022-12-27T07:07:18+0300
Инженер технической поддержки,40000,80000,RUR,Красноярск,2022-12-27T07:35:59+0300
Механик по ремонту и обслуживанию дорожно-строительной техники,55000,,RUR,Уфа,2022-12-27T07:56:21+0300
Электромеханик,45000,60000,RUR,Екатеринбург,2022-12-27T07:17:05+0300
Инженер по ремонту телефонов (Первомайский район),35000,60000,RUR,Новосибирск,2022-12-27T07:24:59+0300
Оператор станков с программным управлением,50000,,RUR,Ижевск,2022-12-27T07:27:37+0300
Инженер по ремонту ноутбуков,40000,65000,RUR,Красноярск,2022-12-27T07:47:19+0300
Механик подземный (ЭМС),145000,,RUR,Новокузнецк,2022-12-27T07:31:59+0300
Программист Delphi,90000,,RUR,Нижний Новгород,2022-12-27T07:31:35+0300
Руководитель проектов,100000,150000,RUR,Березовский (Свердловская область),2022-12-27T07:47:25+0300
Директор СТО,110000,,RUR,Тюмень,2022-12-27T07:54:47+0300
Оператор-программист станка с ЧПУ,55000,100000,RUR,Рязань,2022-12-27T07:53:27+0300
Инженер по видеонаблюдению,,45000,RUR,Уфа,2022-12-27T07:56:19+0300
Наладчик станков и манипуляторов с программным управлением 5 разряда,40000,45000,RUR,Томск,2022-12-27T07:55:17+0300
Инженер-электроник в разработке,60000,,RUR,Томск,2022-12-27T07:55:16+0300
Системный администратор,38934,40700,RUR,Новосибирск,2022-12-27T07:45:38+0300
Специалист по подключению абонентов,35000,,RUR,Нижний Тагил,2022-12-27T07:02:55+0300
Инженер по автоматизированным системам управления производством,39000,39000,RUR,Тюмень,2022-12-27T07:41:31+0300
Оператор лазерных установок,60000,,RUR,Ижевск,2022-12-27T07:27:36+0300
Механик по ремонту и обслуживанию дорожно-строительной техники,55000,,RUR,Благовещенск (Республика Башкортостан),2022-12-27T07:56:21+0300
